agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,3,907,1,march,1,low,random,page_4KB,300,1024,4,0,True,10,3.036
random,4,690,1,random,3,low,random,page_4KB,120,1024,4,0,True,10,1.98
random,4,1326,1,butterfly,4,high,random,page_4KB,120,4096,16,8,True,10,10.27026
random,4,1996,1,inversion,7,medium,random,page_4KB,30,1024,8,4,True,10,2.8784448
random,4,467,1,checkerboard,4,high,rowhammer_like,page_4KB,300,0,16,8,True,1,21.628991999999997
random,4,1019,1,march,4,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.452800000000001
random,4,54,1,walking_1_0,1,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
random,4,494,1,checkerboard,5,high,sequential,page_4KB,120,4096,16,8,True,-1,7.50519
random,4,1274,1,butterfly,3,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.5189144
random,4,527,1,checkerboard,6,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,10.303856640000001
random,4,1409,1,butterfly,7,low,random,page_4KB,60,1024,4,0,True,10,2.0592
random,4,275,1,walking_1_0,7,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
random,4,1915,1,inversion,5,low,random,page_4KB,300,1024,4,0,True,10,3.1152
random,4,871,1,march,0,low,random,page_4KB,300,1024,4,0,True,10,3.036
random,4,1459,1,solid,0,medium,random,page_4KB,300,4096,8,4,True,10,6.1471872
random,4,1122,1,march,7,low,random,page_4KB,120,1024,4,0,True,10,2.277
random,4,1234,1,butterfly,2,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,4,1716,1,solid,7,high,sequential,page_4KB,30,4096,16,8,True,-1,4.378027499999999
random,4,349,1,checkerboard,1,high,sequential,page_4KB,60,4096,16,8,True,-1,6.004151999999999
random,4,140,1,walking_1_0,3,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
random,4,1127,1,march,7,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.452800000000001
random,4,1898,1,inversion,4,high,sequential,page_4KB,120,4096,16,8,True,-1,7.380103499999999
random,4,898,1,march,0,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
random,4,315,1,checkerboard,0,high,sequential,page_4KB,300,0,16,8,True,-1,11.674739999999996
random,4,1045,1,march,5,low,sequential,page_4KB,60,1024,4,0,False,-1,1.311
random,4,1663,1,solid,6,low,random,page_4KB,300,1024,4,0,True,10,2.7720000000000002
random,4,1638,1,solid,5,medium,random,page_4KB,120,4096,8,4,True,10,4.6103904
random,4,1404,1,butterfly,7,low,sequential,page_4KB,30,256,4,0,False,-1,1.04975
random,4,1293,1,butterfly,3,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,12.0504384
random,4,869,1,march,0,low,random,page_4KB,60,1024,4,0,True,10,1.8216
random,4,773,1,random,5,medium,random,page_4KB,60,1024,8,4,True,10,2.9272320000000005
random,4,1437,1,butterfly,7,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,12.0504384
random,4,1593,1,solid,4,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.43936
random,4,1087,1,march,6,low,random,page_4KB,300,1024,4,0,True,10,3.036
random,4,303,1,checkerboard,0,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.561740800000001
random,4,1488,1,solid,1,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.027718
random,4,1053,1,march,5,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.67168
